model_name,dataset_name,scenario,metric_name,bootstrap_full_sample_estimate,bootstrap_CI_lower,bootstrap_CI_upper,n_resamples_requested,n_resamples_valid,n_resamples_skipped,cluster_id_used,cluster_level,point_source
P15_clinically_parsimonious_transport_model,eicu_external,lab24h_freshness_window,ECE,0.21842101507997833,0.2142588161123387,0.22342048555975402,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,AUROC,0.8015348153861492,0.7874874727828544,0.8142678923813942,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,AUPRC,0.172136667151455,0.15317618628010646,0.19211766886407394,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,death_Brier,0.09703838219984368,0.09364810972899977,0.1011029880299312,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,multiclass_Brier,0.585900483085531,0.5805082385096662,0.5914507177461928,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,calibration_intercept,-3.198740144178251,-3.284652533484088,-3.1313724129423575,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,calibration_slope,0.9897891954924274,0.9327325793640249,1.0408278772724195,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,lab24h_freshness_window,ECE,0.24067709770647053,0.23594283294962834,0.24659740176045747,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,AUROC,0.7950124443849479,0.7809036510828539,0.8080312789799707,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,AUPRC,0.16341018995210868,0.1456673082928429,0.18308814826338102,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,death_Brier,0.09561113586482535,0.09214767116104662,0.09961429485597405,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,multiclass_Brier,0.5908773206639748,0.5856317417586238,0.5966082696741771,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,calibration_intercept,-3.1760990171794545,-3.2624846890456802,-3.1070409751449852,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,calibration_slope,0.9723321628346616,0.9184793524562205,1.0275566736333293,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,lab24h_freshness_window,ECE,0.23718759092886613,0.23222913751276722,0.2430841224876533,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,AUROC,0.7846614186847278,0.7706364324444402,0.797667860405124,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,AUPRC,0.1673804717186871,0.14763338000990583,0.18786645209032188,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,death_Brier,0.07536933649849661,0.07286190108442817,0.07826387301102038,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,multiclass_Brier,0.5465312884394172,0.5402045216342417,0.5524842773272719,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,calibration_intercept,-2.9445585428904018,-3.0366594299202125,-2.874504108213255,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,calibration_slope,0.9778846111392281,0.9165095846890154,1.0292843131693519,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P15_clinically_parsimonious_transport_model,eicu_external,stale_lab_as_missing,ECE,0.20385280985209753,0.20020096136713783,0.20842854353048626,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,AUROC,0.7766515982695815,0.7628531464452496,0.7892972313350802,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,AUPRC,0.1544821400329509,0.13657594116842178,0.17330613177742948,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,death_Brier,0.08696212817697922,0.08405571167278718,0.09045421504244719,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,multiclass_Brier,0.5782562278572367,0.5730877443719493,0.5835120778268029,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,calibration_intercept,-3.076007032314417,-3.166733474895518,-3.005923666934889,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,calibration_slope,0.9578412178603608,0.8987290059397411,1.0091060228566406,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P12_true_trained_clinical_landing_model,eicu_external,stale_lab_as_missing,ECE,0.22538011346785228,0.22110948601830274,0.23075863123250998,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,AUROC,0.7743465702155901,0.7601883992579529,0.786967647010074,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,AUPRC,0.1498163818190498,0.13238045403058818,0.16790974020756197,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,death_Brier,0.08781199770038398,0.08479718073272843,0.09140945056226323,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,multiclass_Brier,0.5846160641534753,0.5794183844668734,0.5900590541957388,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,calibration_intercept,-3.0849383761210034,-3.173135061580534,-3.014141398171965,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,calibration_slope,0.944439074589246,0.889828921642104,0.9987320869758073,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
P10_true_trained_ultra_minimal_sensitivity_model,eicu_external,stale_lab_as_missing,ECE,0.22533874685220096,0.22084406449566868,0.23085587014057643,1000,1000,0,patient_id,patient-level,lab_freshness_authoritative_table
